	pater	mater	filius	filia
jerome.vulgate.part.66.james.tess	1	0	0	0
jerome.vulgate.part.67.1_peter.tess	1	0	1	0
jerome.vulgate.part.68.2_peter.tess	0	0	1	0
jerome.vulgate.part.69.1_john.tess	2	0	4	0
jerome.vulgate.part.7.judges.tess	5	3	26	2
jerome.vulgate.part.70.2_john.tess	0	0	0	0
jerome.vulgate.part.71.3_john.tess	0	0	0	0
jerome.vulgate.part.72.jude.tess	0	0	0	0
jerome.vulgate.part.73.apocalypse.tess	0	1	3	0
jerome.vulgate.part.73a.epistle_of_paul_to_the_laodicians.tess	0	0	0	0
jerome.vulgate.part.74.1_esdras.tess	0	0	22	0
jerome.vulgate.part.75.2_esdras.tess	4	7	8	0
jerome.vulgate.part.76.prayer_of_manasseh.tess	0	0	0	0
jerome.vulgate.part.8.ruth.tess	1	0	1	7
jerome.vulgate.part.9.1_samuel.tess	18	3	27	5
juvenal.satires.tess	21	6	11	4
juvencus.historia_evangelica.part.1.tess	3	3	0	0
juvencus.historia_evangelica.part.2.tess	1	4	1	0
juvencus.historia_evangelica.part.3.tess	0	0	4	1
juvencus.historia_evangelica.part.4.tess	4	0	1	0
livy.ab_urbe_condita.part.1.books_1-10.tess	29	5	24	8
livy.ab_urbe_condita.part.2.books_21-30.tess	18	2	25	5
livy.ab_urbe_condita.part.3.books_31-40.tess	26	4	24	4
livy.ab_urbe_condita.part.4.books_41-45.tess	7	0	17	1
lucan.bellum_civile.part.1.tess	0	0	0	0
lucan.bellum_civile.part.10.tess	0	0	0	0
lucan.bellum_civile.part.2.tess	1	1	0	0
lucan.bellum_civile.part.3.tess	0	0	0	0
lucan.bellum_civile.part.4.tess	0	0	0	0
lucan.bellum_civile.part.5.tess	0	0	0	0
lucan.bellum_civile.part.6.tess	1	0	0	0
lucan.bellum_civile.part.7.tess	1	0	0	0
lucan.bellum_civile.part.8.tess	0	0	0	0
lucan.bellum_civile.part.9.tess	0	0	0	0
lucretius.de_rerum_natura.part.1.tess	1	1	0	0
lucretius.de_rerum_natura.part.2.tess	1	4	0	0
lucretius.de_rerum_natura.part.3.tess	1	0	0	0
lucretius.de_rerum_natura.part.4.tess	1	0	0	0
lucretius.de_rerum_natura.part.5.tess	1	1	0	0
lucretius.de_rerum_natura.part.6.tess	0	0	0	0
macrobius.fragment.tess	0	0	0	0
macrobius.saturnalia.part.1.tess	9	4	1	2
macrobius.saturnalia.part.2.tess	4	2	1	4
macrobius.saturnalia.part.3.tess	2	1	1	0
macrobius.saturnalia.part.4.tess	2	0	0	0
macrobius.saturnalia.part.5.tess	5	2	2	1
macrobius.saturnalia.part.6.tess	7	1	0	0
macrobius.saturnalia.part.7.tess	1	0	0	0
manilius.astronomicon.part.1.tess	2	0	1	0
manilius.astronomicon.part.2.tess	1	1	0	0
manilius.astronomicon.part.3.tess	0	0	0	0
manilius.astronomicon.part.4.tess	1	0	1	0
manilius.astronomicon.part.5.tess	1	1	0	0
marcus_mincuius_felix.octavius.tess	2	3	3	1
martial.epigrams.part.1.tess	1	0	0	0
martial.epigrams.part.10.tess	2	1	0	0
martial.epigrams.part.11.tess	2	1	0	2
martial.epigrams.part.12.tess	2	0	0	0
martial.epigrams.part.13.tess	0	0	0	2
martial.epigrams.part.14.tess	1	0	1	1
martial.epigrams.part.2.tess	0	1	0	0
martial.epigrams.part.3.tess	2	0	0	0
martial.epigrams.part.4.tess	1	3	0	0
martial.epigrams.part.5.tess	3	1	0	1
martial.epigrams.part.6.tess	1	0	0	2
martial.epigrams.part.7.tess	0	0	0	2
martial.epigrams.part.8.tess	1	0	0	0
martial.epigrams.part.9.tess	6	0	0	0
nepos.vitae.tess	14	6	20	1
ovid.amores.part.1.tess	1	2	3	0
ovid.amores.part.2.tess	1	1	0	0
ovid.amores.part.3.tess	4	7	0	0
ovid.ars_amatoria.part.1.tess	6	4	0	2
ovid.ars_amatoria.part.2.tess	6	2	0	0
ovid.ars_amatoria.part.3.tess	1	1	0	0
ovid.ex_ponto.part.1.tess	1	1	0	0
ovid.ex_ponto.part.2.tess	5	2	3	0
ovid.ex_ponto.part.3.tess	1	1	1	0
ovid.ex_ponto.part.4.tess	0	0	0	1
ovid.fasti.part.1.tess	4	1	0	0
ovid.fasti.part.2.tess	10	8	1	1
ovid.fasti.part.3.tess	6	4	0	1
ovid.fasti.part.4.tess	2	12	3	7
ovid.fasti.part.5.tess	6	7	0	0
ovid.fasti.part.6.tess	3	5	0	3
ovid.heroides.part.1.1-15.tess	26	21	1	5
ovid.heroides.part.2.16-21.tess	6	6	0	3
ovid.ibis.tess	4	1	1	4
ovid.medicamina_faciei_femineae.tess	0	0	0	1
ovid.metamorphoses.part.1.tess	7	0	2	1
ovid.metamorphoses.part.10.tess	3	1	0	3
ovid.metamorphoses.part.11.tess	3	1	0	1
ovid.metamorphoses.part.12.tess	2	1	0	0
ovid.metamorphoses.part.13.tess	7	4	2	1
ovid.metamorphoses.part.14.tess	3	0	0	2
ovid.metamorphoses.part.15.tess	3	1	0	0
ovid.metamorphoses.part.2.tess	11	2	0	2
ovid.metamorphoses.part.3.tess	3	3	0	0
ovid.metamorphoses.part.4.tess	3	4	0	3
ovid.metamorphoses.part.5.tess	0	2	0	4
ovid.metamorphoses.part.6.tess	3	7	0	2
ovid.metamorphoses.part.7.tess	8	1	0	0
ovid.metamorphoses.part.8.tess	8	2	0	2
ovid.metamorphoses.part.9.tess	6	4	0	2
ovid.remedia_amoris.tess	3	5	1	2
ovid.tristia.part.1.tess	0	0	0	0
ovid.tristia.part.2.tess	3	3	0	0
ovid.tristia.part.3.tess	7	0	1	0
ovid.tristia.part.4.tess	3	0	0	1
ovid.tristia.part.5.tess	1	0	0	0
paulus_diaconus.carmina.tess	26	3	0	2
persius.satires.tess	3	0	1	0
petronius.satyricon.tess	13	6	4	0
plautus.amphitruo.tess	21	0	1	1
plautus.asinaria.tess	11	15	4	0
plautus.aulularia.tess	5	7	1	4
plautus.bacchides.tess	19	0	11	0
plautus.captivi.tess	20	0	8	0
plautus.casina.tess	4	1	5	1
plautus.cistellaria.tess	8	11	1	8
plautus.curculio.tess	3	2	0	0
plautus.epidicus.tess	9	2	6	8
